MAE,MSE,MAPE,Model,Moneyness
1.1746602686434071,3.4507809661175792,170.91513238093603,Transformer A (Heston),OTM
2.0577382315314705,9.80761561683089,279.5031880688026,"Transformer B (GAN, RN)",OTM
1.3890552861986347,4.073531302597689,266.6823986401986,Transformer C (Mixed+ATM),OTM
1.5364240254211392,10.100145676786088,176.88814239691956,Black-Scholes,OTM
2.1022719386480104,8.371475891732212,51.95644193649177,Transformer A (Heston),ATM
2.7455609232046094,12.222486105426993,44.04528370245494,"Transformer B (GAN, RN)",ATM
1.9192737362861076,6.701685086138982,53.023113262352595,Transformer C (Mixed+ATM),ATM
1.5783630506857578,6.122887373343077,27.66244766989517,Black-Scholes,ATM
1.2416124800783899,3.556329741634025,4.623603221595819,Transformer A (Heston),ITM
1.6218951700633764,4.8246856098207935,6.165156607024003,"Transformer B (GAN, RN)",ITM
1.183631923644075,3.0859326990360656,4.432191564232375,Transformer C (Mixed+ATM),ITM
1.4413117633368073,5.171813256628516,5.236662623384341,Black-Scholes,ITM
