MAE,MSE,MAPE,Model,Regime
1.4933168118540916,3.3142760346823494,94.72848126014304,Transformer A (Heston),Low (VIX<15)
1.7843564171956143,6.411354825381145,124.48522503496329,"Transformer B (GAN, RN)",Low (VIX<15)
1.5899317770355084,4.340900688408303,121.16065230445452,Transformer C (Mixed+ATM),Low (VIX<15)
0.8144196656713318,1.287051956551786,22.013249039027897,Black-Scholes,Low (VIX<15)
1.042606803669299,1.9365281561683527,67.08759614656412,Transformer A (Heston),Medium (15-25)
1.796216127305762,5.820056510576303,90.32191454870735,"Transformer B (GAN, RN)",Medium (15-25)
1.1530593088492473,2.2929055528256463,99.30701570884112,Transformer C (Mixed+ATM),Medium (15-25)
1.2398770665896923,3.012748466735461,39.73777093040696,Black-Scholes,Medium (15-25)
2.487699341190561,12.104636858475951,40.679354317150754,Transformer A (Heston),High (VIX>25)
2.887333547075961,14.797167738137167,60.64599858547357,"Transformer B (GAN, RN)",High (VIX>25)
2.1305577627744685,9.095803054306742,44.60767326589292,Transformer C (Mixed+ATM),High (VIX>25)
2.2118593207565174,14.817321184482655,87.3587624844186,Black-Scholes,High (VIX>25)
